"name";"price";"url";"shop";"city"
"Colorful Laptop Gaming P15 i7-13620H 16GB 512GB SSD RTX 4060 15.6"" W11 Audio Baterai";"Rp16.999.000";"https://www.tokopedia.com/theideaco/colorful-laptop-gaming-p15-i7-13620h-16gb-512gb-ssd-rtx-4060-15-6-w11-audio-baterai-1730794732556747872?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"THEIDEACO";"Jakarta Pusat"
"Laptop Gaming COLORFUL EPOCH N14 GeForce RTX 4060 i7-13620H";"Rp20.499.000";"https://www.tokopedia.com/nvidiageforce/laptop-gaming-colorful-epoch-n14-geforce-rtx-4060-i7-13620h-1732065488180053206?extParam=ivf%3Dtrue%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"NVIDIA GEFORCE";"Jakarta Utara"
"Colorful EPOCH N14 - Laptop Core i7-13620H RAM 16GB SSD 512GB RTX 4060 8GB 14"" QHD 165Hz";"Rp20.640.000";"https://www.tokopedia.com/enterkomputer/colorful-epoch-n14-laptop-core-i7-13620h-ram-16gb-ssd-512gb-rtx-4060-8gb-14-qhd-165hz-1731977753756862032?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Enter Komputer Official";"Jakarta Pusat"
"Laptop Gaming AXIOO PONGO 760 V2 Intel Core i7 13620H RTX 4060 16GB 512SSD 15.6"" 144Hz";"Rp17.205.000";"https://www.tokopedia.com/teknotrend/laptop-gaming-axioo-pongo-760-v2-intel-core-i7-13620h-rtx-4060-16gb-512ssd-15-6-144hz-1731266311933036482?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"TeknoTrend ID";"Jakarta Pusat"
"Laptop Gaming Colorful Evol P15 - Intel Core i7-13620H | 16GB | GeForce RTX 4060 | SSD NVMe 512GB";"Rp17.899.000";"https://www.tokopedia.com/jayapc/laptop-gaming-colorful-evol-p15-intel-core-i7-13620h-16gb-geforce-rtx-4060-ssd-nvme-512gb-1733658946288846360?extParam=ivf%3Dtrue%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Jaya PC";"Jakarta Pusat"
"Laptop Gaming COLORFUL EVOL P15 GeForce RTX 4060 i7-13620H";"Rp18.699.000";"https://www.tokopedia.com/nvidiageforce/laptop-gaming-colorful-evol-p15-geforce-rtx-4060-i7-13620h-biru-muda-4ae33?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"NVIDIA GEFORCE";"Jakarta Utara"
"LAPTOP AXIOO PONGO 760 | i7 12650H 16GB 512GB RTX 4060 8GB 144Hz";"Rp18.099.000";"https://www.tokopedia.com/axiooslimbook/laptop-axioo-pongo-760-i7-12650h-16gb-512gb-rtx-4060-8gb-144hz-normal-e0464?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Axioo Official Store ID";"Jakarta Utara"
"Colorful EVOL P15 HJ76B-W/G - Laptop Core i7-13620H RAM 16GB SSD 512GB RTX 4060 8GB 15.6"" QHD 165Hz";"Rp18.423.000";"https://www.tokopedia.com/enterkomputer/colorful-evol-p15-hj76b-w-g-laptop-core-i7-13620h-ram-16gb-ssd-512gb-rtx-4060-8gb-15-6-qhd-165hz-1731577912776689232?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Enter Komputer Official";"Jakarta Pusat"
"Axioo Laptop Gaming Pongo 760 v2 Intel i7-13620H/16GB/512GB/RTX 4060/FHD IPS 144Hz -Windows 11";"Rp19.999.000";"https://www.tokopedia.com/axioo-indonesia/axioo-laptop-gaming-pongo-760-v2-intel-i7-13620h-16gb-512gb-rtx-4060-fhd-ips-144hz-windows-11-1730815054778631253?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Axioo Indonesia";"Jakarta Timur"
"ACER PREDATOR HELIOS NEO 16 PHN16-72-93X3 - GeForce RTX 4060 Core i9-14900HX 1TB SSD 16GB RAM Notebook Laptop Gaming";"Rp24.799.000";"https://www.tokopedia.com/gasol/acer-predator-helios-neo-16-phn16-72-93x3-geforce-rtx-4060-core-i9-14900hx-1tb-ssd-16gb-ram-notebook-laptop-gaming-1734445635464758478?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"GASOL MALANG";"Malang"
"LAPTOP AXIOO PONGO 760 V2  RTX 4060 8GB i7 13620H RAM 16GB 512GB 16 INCH W11 - GARANSI RESMI";"Rp18.069.000";"https://www.tokopedia.com/exoglobal/laptop-axioo-pongo-760-v2-rtx-4060-8gb-i7-13620h-ram-16gb-512gb-16-inch-w11-garansi-resmi-1730906604671042955?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"EXO GLOBAL";"Makassar"
"Colorful EVOL P15 23-HJ76B-B - Laptop Core i7-13620H RAM 16GB SSD 512GB RTX 4060 8GB 15.6"" QHD 165Hz";"Rp18.423.000";"https://www.tokopedia.com/enterkomputer/colorful-evol-p15-23-hj76b-b-laptop-core-i7-13620h-ram-16gb-ssd-512gb-rtx-4060-8gb-15-6-qhd-165hz-1731578156025415248?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Enter Komputer Official";"Jakarta Pusat"
"COLORFUL EVOL X15 AT RTX 4060 i7 - 13700HX Laptop Gaming | Grey";"Rp19.200.000";"https://www.tokopedia.com/gamingpcstore/colorful-evol-x15-at-rtx-4060-i7-13700hx-laptop-gaming-grey-1733308844967625893?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"STAR17 COM";"Jakarta Selatan"
