title,price,rating,owner,city
"Colorful Laptop Gaming P15 i7-13620H 16GB 512GB SSD RTX 4060 15.6"" W11 Audio Baterai",16999000,5.0,THEIDEACO,Jakarta Pusat
Laptop Gaming COLORFUL EPOCH N14 GeForce RTX 4060 i7-13620H,20499000,5.0,NVIDIA GEFORCE,Jakarta Utara
"Colorful EPOCH N14 - Laptop Core i7-13620H RAM 16GB SSD 512GB RTX 4060 8GB 14"" QHD 165Hz",20640000,5.0,Enter Komputer Official,Jakarta Pusat
"Laptop Gaming AXIOO PONGO 760 V2 Intel Core i7 13620H RTX 4060 16GB 512SSD 15.6"" 144Hz",17205000,5.0,TeknoTrend ID,Jakarta Pusat
Laptop Gaming Colorful Evol P15 - Intel Core i7-13620H | 16GB | GeForce RTX 4060 | SSD NVMe 512GB,17899000,5.0,Jaya PC,Jakarta Pusat
Laptop Gaming COLORFUL EVOL P15 GeForce RTX 4060 i7-13620H,18699000,5.0,NVIDIA GEFORCE,Jakarta Utara
LAPTOP AXIOO PONGO 760 | i7 12650H 16GB 512GB RTX 4060 8GB 144Hz,18099000,5.0,Axioo Official Store ID,Jakarta Utara
"Colorful EVOL P15 HJ76B-W/G - Laptop Core i7-13620H RAM 16GB SSD 512GB RTX 4060 8GB 15.6"" QHD 165Hz",18423000,5.0,Enter Komputer Official,Jakarta Pusat
Axioo Laptop Gaming Pongo 760 v2 Intel i7-13620H/16GB/512GB/RTX 4060/FHD IPS 144Hz -Windows 11,19999000,4.9,Axioo Indonesia,Jakarta Timur
ACER PREDATOR HELIOS NEO 16 PHN16-72-93X3 - GeForce RTX 4060 Core i9-14900HX 1TB SSD 16GB RAM Notebook Laptop Gaming,24799000,0.0,GASOL MALANG,Malang
LAPTOP AXIOO PONGO 760 V2  RTX 4060 8GB i7 13620H RAM 16GB 512GB 16 INCH W11 - GARANSI RESMI,18069000,0.0,EXO GLOBAL,Makassar
"Colorful EVOL P15 23-HJ76B-B - Laptop Core i7-13620H RAM 16GB SSD 512GB RTX 4060 8GB 15.6"" QHD 165Hz",18423000,0.0,Enter Komputer Official,Jakarta Pusat
COLORFUL EVOL X15 AT RTX 4060 i7 - 13700HX Laptop Gaming | Grey,19200000,0.0,STAR17 COM,Jakarta Selatan
Laptop Gaming COLORFUL EVOL P15 GeForce RTX 4060 i7-13700HX,19699000,0.0,NVIDIA GEFORCE,Jakarta Utara
COLORFUL EVOL P15 23-HJ76B-G - GeForce RTX 4060 Core i7-13620H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming,18199000,0.0,Gasol WTC Surabaya,Surabaya
